gene	rice-defline
GRMZM2G167438	3-ketoacyl-CoA synthase precursor, putative, expressed
GRMZM2G167463	mitochondrial import inner membrane translocase subunit Tim17, putative, expressed
GRMZM2G167492	no apical meristem protein, putative, expressed
GRMZM2G167497	COBRA-like protein precursor, putative, expressed
GRMZM2G167505	RNA recognition motif containing protein, putative, expressed
GRMZM2G167520	COBRA, putative, expressed
GRMZM2G167521	peptidyl-prolyl cis-trans isomerase, putative, expressed
GRMZM2G167542	nucleobase-ascorbate transporter, putative, expressed
GRMZM2G167548	multiple myeloma tumor-associated protein 2, putative, expressed
GRMZM2G167549	cytochrome P450, putative, expressed
GRMZM2G167554	AGC_AGC_other_NDRh_TRCd.1 - ACG kinases include homologs to PKA, PKG and PKC, expressed
GRMZM2G167560	CCT/B-box zinc finger protein, putative, expressed
GRMZM2G167563	expressed protein
GRMZM2G167568	PPR repeat domain containing protein, putative, expressed
GRMZM2G167576	histone-like transcription factor and archaeal histone, putative, expressed
GRMZM2G167578	plastocyanin-like domain containing protein, putative, expressed
GRMZM2G167580	heat shock protein DnaJ, putative, expressed
GRMZM2G167584	expressed protein
GRMZM2G167591	expressed protein
GRMZM2G167594	SAC domain containing protein, putative, expressed
GRMZM2G167613	dehydrogenase, putative, expressed
GRMZM2G167637	pectinesterase, putative, expressed
GRMZM2G167651	intracellular protein transport protein USO1-related, putative, expressed
GRMZM2G167658	ABC transporter, ATP-binding protein, putative, expressed
GRMZM2G167668	OsFBO7 - F-box and other domain containing protein, expressed
GRMZM2G167669	endoglucanase, putative, expressed
GRMZM2G167673	cytochrome P450, putative, expressed
GRMZM2G167689	CRAL/TRIO domain containing protein, expressed
GRMZM2G167694	expressed protein
GRMZM2G167698	cytochrome P450, putative, expressed
GRMZM2G167718	bromodomain containing protein, expressed
GRMZM2G167722	CESA4 - cellulose synthase, expressed
GRMZM2G167725	ubiquinol-cytochrome C chaperone family protein, putative, expressed
GRMZM2G167728	expressed protein
GRMZM2G167733	ZmEBE-1 protein, putative, expressed
GRMZM2G167741	expressed protein
GRMZM2G167750	protein kinase domain containing protein, expressed
GRMZM2G167758	expressed protein
GRMZM2G167766	YGGT family protein, putative, expressed
GRMZM2G167767	mitochondrial-processing peptidase subunit alpha, mitochondrial precursor, putative, expressed
GRMZM2G167786	polygalacturonase inhibitor 1 precursor, putative, expressed
GRMZM2G167787	GIL1, putative, expressed
GRMZM2G167794	OsIAA31 - Auxin-responsive Aux/IAA gene family member, expressed
GRMZM2G167809	ribosomal RNA assembly protein mis3, putative, expressed
GRMZM2G167812	allergen-related, putative, expressed
GRMZM2G167824	YABBY domain containing protein, putative, expressed
GRMZM2G167829	myb-like DNA-binding domain containing protein, putative, expressed
GRMZM2G167834	HEAT repeat family protein, putative, expressed
GRMZM2G167836	vesicle-associated membrane protein 727, putative, expressed
GRMZM2G167856	STE_MEK_ste7_MAP2K.2 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed
GRMZM2G167862	lysosomal alpha-mannosidase precursor, putative, expressed
GRMZM2G167863	vacuolar protein sorting 55 family protein, putative, expressed
GRMZM2G167865	RCLEA2 - Root cap and Late embryogenesis related family protein precursor, putative, expressed
GRMZM2G167868	heat shock protein binding protein, putative, expressed
GRMZM2G167870	ZOS6-09 - C2H2 zinc finger protein, expressed
GRMZM2G167872	NAD dependent epimerase/dehydratase family protein, putative, expressed
GRMZM2G167875	60S ribosomal protein L18a, putative, expressed
GRMZM2G167884	expressed protein
GRMZM2G167886	WD domain, G-beta repeat domain containing protein, expressed
GRMZM2G167892	reticulon domain containing protein, putative, expressed
GRMZM2G167898	C2 domain containing protein, putative, expressed
GRMZM2G167900	SAC3/GANP family protein, expressed
GRMZM2G167924	PWWP domain containing protein, expressed
GRMZM2G167932	nuclear transport factor 2, putative, expressed
GRMZM2G167933	retrotransposon protein, putative, unclassified, expressed
GRMZM2G167941	expressed protein
GRMZM2G167946	cytochrome b5-like Heme/Steroid binding domain containing protein, expressed
GRMZM2G167957	Inositol 1, 3, 4-trisphosphate 5/6-kinase, putative, expressed
GRMZM2G167966	expressed protein
GRMZM2G167982	CAMK_CAMK_like.36 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
GRMZM2G167986	cytochrome P450, putative, expressed
GRMZM2G167998	RCLEA4 - Root cap and Late embryogenesis related family protein precursor, expressed
GRMZM2G167999	WD domain, G-beta repeat domain containing protein, expressed
GRMZM2G168002	myb-like DNA-binding domain containing protein, expressed
GRMZM2G168016	cytochrome P450, putative, expressed
GRMZM2G168017	syntaxin-related protein KNOLLE, putative, expressed
GRMZM2G168020	major ampullate spidroin 2, putative, expressed
GRMZM2G168039	heat shock protein, putative, expressed
GRMZM2G168049	metallo-beta-lactamase family protein, putative, expressed
GRMZM2G168071	AMP deaminase, putative, expressed
GRMZM2G168073	peroxidase precursor, putative, expressed
GRMZM2G168079	bZIP transcription factor, putative, expressed
GRMZM2G168087	dual specificity protein phosphatase, putative, expressed
GRMZM2G168096	SNF2 family N-terminal domain containing protein, expressed
GRMZM2G168097	conserved hypothetical protein
GRMZM2G168099	aspartic proteinase nepenthesin-2 precursor, putative, expressed
GRMZM2G168108	sodium/calcium exchanger protein, putative, expressed
GRMZM2G168115	eukaryotic aspartyl protease domain containing protein, expressed
GRMZM2G168119	CS domain containing protein, putative, expressed
GRMZM2G168143	ferredoxin--NADP reductase, chloroplast precursor, putative, expressed
GRMZM2G168148	transcription factor jumonji, putative, expressed
GRMZM2G168149	ribosomal protein, putative, expressed
GRMZM2G168155	AMP-binding enzyme, putative, expressed
GRMZM2G168161	expressed protein
GRMZM2G168163	RNA recognition motif containing protein, putative, expressed
GRMZM2G168166	expressed protein
GRMZM2G168167	pentatricopeptide repeat protein, putative, expressed
GRMZM2G168170	pentatricopeptide, putative, expressed
GRMZM2G168171	AATF, putative, expressed
GRMZM2G168176	Brix domain containing protein, putative, expressed
GRMZM2G168190	integral membrane protein, putative, expressed
GRMZM2G168196	OsSCP43 - Putative Serine Carboxypeptidase homologue, expressed
GRMZM2G168200	zinc finger, C3HC4 type, domain containing protein, expressed
GRMZM2G168214	nodulin, putative, expressed
GRMZM2G168222	calmodulin-binding protein, putative, expressed
GRMZM2G168228	AAA-type ATPase family protein, putative, expressed
GRMZM2G168229	OsSPL5 - SBP-box gene family member, expressed
GRMZM2G168240	PPR repeat domain containing protein, putative, expressed
GRMZM2G168249	ORC1 - Putative origin recognition complex subunit 1, expressed
GRMZM2G168252	LSM domain containing protein, expressed
GRMZM2G168257	uncharacterized Cys-rich domain containing protein, putative, expressed
GRMZM2G168261	expressed protein
GRMZM2G168269	methyl-binding domain protein MBD, putative, expressed
GRMZM2G168274	UDP-glucuronate 4-epimerase, putative, expressed
GRMZM2G168281	formyl transferase, putative, expressed
GRMZM2G168299	leucine carboxyl methyltransferase 1, putative, expressed
GRMZM2G168301	rho guanine nucleotide exchange factor, putative, expressed
GRMZM2G168304	3-ketoacyl-CoA synthase, putative, expressed
GRMZM2G168314	REX1 DNA Repair family protein, expressed
GRMZM2G168318	CW-type Zinc Finger, putative, expressed
GRMZM2G168326	pentatricopeptide, putative, expressed
GRMZM2G168330	ribosomal protein L14, putative, expressed
GRMZM2G168332	expressed protein
GRMZM2G168335	rho termination factor, N-terminal domain containing protein, expressed
GRMZM2G168337	nicalin, putative, expressed
GRMZM2G168355	naringenin,2-oxoglutarate 3-dioxygenase, putative, expressed
GRMZM2G168364	CHIT13 - Chitinase family protein precursor, expressed
GRMZM2G168365	nodulin MtN3 family protein, putative, expressed
GRMZM2G168369	zinc finger family protein, putative, expressed
GRMZM2G168371	DUF640 domain containing protein, putative, expressed
GRMZM2G168375	haloacid dehalogenase-like hydrolase family protein, putative, expressed
GRMZM2G168378	pentatricopeptide, putative, expressed
GRMZM2G168382	cytochrome P450, putative, expressed
GRMZM2G168386	expressed protein
GRMZM2G168388	inactive receptor kinase At2g26730 precursor, putative, expressed
GRMZM2G168392	cytochrome P450, putative, expressed
GRMZM2G168393	expressed protein
GRMZM2G168397	chaperone protein dnaJ 10, putative, expressed
GRMZM2G168404	cytochrome P450, putative, expressed
GRMZM2G168412	radical SAM enzyme, putative, expressed
GRMZM2G168416	protein kinase domain containing protein, expressed
GRMZM2G168428	WD domain, G-beta repeat domain containing protein, expressed
GRMZM2G168431	aspartic proteinase nepenthesin-2 precursor, putative, expressed
GRMZM2G168439	aquaporin protein, putative, expressed
GRMZM2G168441	expressed protein
GRMZM2G168447	SCP-like extracellular protein, expressed
GRMZM2G168449	cyclin-related protein, putative, expressed
GRMZM2G168474	cis-zeatin O-glucosyltransferase, putative, expressed
GRMZM2G168476	potyvirus VPg interacting protein, putative, expressed
GRMZM2G168497	glycerol-3-phosphate acyltransferase, putative, expressed
GRMZM2G168499	transferase family protein, putative, expressed
GRMZM2G168502	integral membrane protein DUF6 containing protein, expressed
GRMZM2G168506	oxidoreductase, putative, expressed
GRMZM2G168510	2-dehydro-3-deoxyphosphooctonate aldolase, putative, expressed
GRMZM2G168519	VAMP-like protein YKT62, putative, expressed
GRMZM2G168544	expressed protein
GRMZM2G168546	NADPH-dependent oxidoreductase, putative, expressed
GRMZM2G168552	abscisic stress-ripening, putative, expressed
GRMZM2G168574	WD domain, G-beta repeat domain containing protein, expressed
GRMZM2G168578	autophagy-related protein 3, putative, expressed
GRMZM2G168588	lysM domain-containing GPI-anchored protein precursor, putative, expressed
GRMZM2G168590	expressed protein
GRMZM2G168603	receptor protein kinase CLAVATA1 precursor, putative, expressed
GRMZM2G168614	OsFBDUF47 - F-box and DUF domain containing protein, expressed
GRMZM2G168618	carrier, putative, expressed
GRMZM2G168629	HEAT repeat family protein, putative, expressed
GRMZM2G168651	retrotransposon protein, putative, unclassified, expressed
GRMZM2G168654	tRNA-binding arm, putative, expressed
GRMZM2G168661	auxin response factor 15, putative, expressed
GRMZM2G168665	mTERF domain containing protein, expressed
GRMZM2G168669	expressed protein
GRMZM2G168674	ribosomal protein L37, putative, expressed
GRMZM2G168675	harpin-induced protein 1 domain containing protein, expressed
GRMZM2G168679	PPR repeat containing protein, expressed
GRMZM2G168681	polyprenyl synthetase, putative, expressed
GRMZM2G168690	zinc finger, C3HC4 type domain containing protein, expressed
GRMZM2G168693	expressed protein
GRMZM2G168704	expressed protein
GRMZM2G168706	CAMK_CAMK_like.33 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
GRMZM2G168707	zinc finger, C3HC4 type domain containing protein, expressed
GRMZM2G168716	phosphofructokinase, putative, expressed
GRMZM2G168721	expressed protein
GRMZM2G168744	nuclease PA3, putative, expressed
GRMZM2G168747	metal transporter Nramp6, putative, expressed
GRMZM2G168752	WD domain, G-beta repeat domain containing protein, expressed
GRMZM2G168758	proline-rich protein 6, putative, expressed
GRMZM2G168760	expressed protein
GRMZM2G168762	mitochondrial ATP synthase precursor, putative, expressed
GRMZM2G168791	glycosyltransferase, putative, expressed
GRMZM2G168795	verticillium wilt disease resistance protein, putative, expressed
GRMZM2G168801	EH domain-containing protein 1, putative, expressed
GRMZM2G168807	major ampullate spidroin 2-2, putative, expressed
GRMZM2G168809	expressed protein
GRMZM2G168829	ubiquitin family protein, putative, expressed
GRMZM2G168833	LTPL83 - Protease inhibitor/seed storage/LTP family protein precursor, putative, expressed
GRMZM2G168849	uvrB/uvrC motif family protein, expressed
GRMZM2G168855	vacuolar protein-sorting protein bro1, putative, expressed
GRMZM2G168858	NADPH reductase, putative, expressed
GRMZM2G168862	phosphatidylinositol transfer, putative, expressed
GRMZM2G168864	harpin-induced protein 1 domain containing protein, expressed
GRMZM2G168877	pectinacetylesterase domain containing protein, expressed
GRMZM2G168886	cullin family domain containing protein, putative, expressed
GRMZM2G168888	rhodanese-like domain containing protein, putative, expressed
GRMZM2G168890	expressed protein
GRMZM2G168893	dihydroflavonol-4-reductase, putative, expressed
GRMZM2G168898	non-symbiotic hemoglobin 2, putative, expressed
GRMZM2G168909	expressed protein
GRMZM2G168913	expressed protein
GRMZM2G168917	protein kinase domain containing protein, expressed
GRMZM2G168920	ZOS6-08 - C2H2 zinc finger protein, expressed
GRMZM2G168933	expressed protein
GRMZM2G168953	receptor like protein kinase, putative, expressed
GRMZM2G168956	3-ketoacyl-CoA synthase, putative, expressed
GRMZM2G168957	OsFBX237 - F-box domain containing protein, expressed
GRMZM2G168959	tRNA methyltransferase, putative, expressed
GRMZM2G168968	pentatricopeptide, putative, expressed
GRMZM2G168976	short-chain dehydrogenase/reductase, putative, expressed
GRMZM2G168980	U-box, putative, expressed
GRMZM2G168984	expressed protein
GRMZM2G168985	receptor-like kinase, putative, expressed
GRMZM2G168987	expressed protein
GRMZM2G169000	protein phosphatase 2C, putative, expressed
GRMZM2G169005	short-chain dehydrogenase/reductase, putative, expressed
GRMZM2G169012	RNA-directed DNA polymerase, putative, expressed
GRMZM2G169020	protein kinase, putative, expressed
GRMZM2G169024	peptide chain release factor protein, putative, expressed
GRMZM2G169033	laccase precursor protein, putative, expressed
GRMZM2G169044	expressed protein
GRMZM2G169046	aspartokinase 3, chloroplast precursor, putative, expressed
GRMZM2G169064	expressed protein
GRMZM2G169073	1,4-alpha-glucan-branching enzyme, chloroplast precursor, putative, expressed
GRMZM2G169080	protein kinase family protein, putative, expressed
GRMZM2G169087	amidase family protein, putative, expressed
GRMZM2G169089	O-acyltransferase, putative, expressed
GRMZM2G169093	hAT dimerisation domain containing protein, expressed
GRMZM2G169095	peptidase, M24 family protein, putative, expressed
GRMZM2G169114	transporter, monovalent cation:proton antiporter-2 family, putative, expressed
GRMZM2G169116	YT521-B-like family domain containing protein, expressed
GRMZM2G169121	expressed protein
GRMZM2G169149	WRKY62, expressed
GRMZM2G169152	muconate cycloisomerase, putative, expressed
GRMZM2G169154	CBS domain containing membrane protein, putative, expressed
GRMZM2G169160	seryl-tRNA synthetase, putative, expressed
GRMZM2G169167	OsFBX436 - F-box domain containing protein, expressed
GRMZM2G169173	OsFBX436 - F-box domain containing protein, expressed
GRMZM2G169182	PB1 domain containing protein, expressed
GRMZM2G169184	secreted salivary protein, putative, expressed
GRMZM2G169198	expressed protein
GRMZM2G169200	aminotransferase, classes I and II, domain containing protein, expressed
GRMZM2G169201	ferric reductase, putative, expressed
GRMZM2G169207	CBS domain containing membrane protein, putative, expressed
GRMZM2G169227	expressed protein
GRMZM2G169240	fatty acid desaturase, putative, expressed
GRMZM2G169245	protein kinase family protein, putative, expressed
GRMZM2G169248	serine/threonine-protein kinase AFC3, putative, expressed
GRMZM2G169259	expressed protein
GRMZM2G169261	fatty acid desaturase, putative, expressed
GRMZM2G169266	expressed protein
GRMZM2G169270	OsSPL15 - SBP-box gene family member, expressed
GRMZM2G169280	PPR repeat containing protein, expressed
GRMZM2G169293	phosphatidic acid phosphatase-related, putative, expressed
GRMZM2G169295	DUF593 domain containing protein, expressed
GRMZM2G169316	MYB family transcription factor, putative, expressed
GRMZM2G169320	kinase, pfkB family, putative, expressed
GRMZM2G169321	haemolysin-III, putative, expressed
GRMZM2G169326	GCN5-related N-acetyltransferase, putative, expressed
GRMZM2G169329	SOUL heme-binding protein, putative, expressed
GRMZM2G169333	formamidopyrimidine-DNA glycosylase, putative, expressed
GRMZM2G169341	strictosidine synthase, putative, expressed
GRMZM2G169343	cell division control protein 48 homolog E, putative, expressed
GRMZM2G169356	MYB family transcription factor, putative, expressed
GRMZM2G169360	expressed protein
GRMZM2G169363	mitochondrial carrier protein, putative, expressed
GRMZM2G169365	nitrilase, putative, expressed
GRMZM2G169372	dehydrin, putative, expressed
GRMZM2G169380	3-ketoacyl-CoA thiolase, peroxisomal precursor, putative, expressed
GRMZM2G169382	AP2 domain containing protein, expressed
GRMZM2G169384	DAG protein, chloroplast precursor, putative, expressed
GRMZM2G169391	hemerythrin family protein, expressed
GRMZM2G169398	transposon protein, putative, Mutator sub-class, expressed
GRMZM2G169402	expressed protein
GRMZM2G169405	expressed protein
GRMZM2G169412	sorting nexin 1, putative, expressed
GRMZM2G169418	transposon protein, putative, CACTA, En/Spm sub-class, expressed
GRMZM2G169432	CS domain containing protein, putative, expressed
GRMZM2G169433	retrotransposon protein, putative, unclassified, expressed
GRMZM2G169449	RING finger protein, putative, expressed
GRMZM2G169451	yippee zinc-binding protein, putative, expressed
GRMZM2G169458	aldehyde dehydrogenase, putative, expressed
GRMZM2G169462	uridine/cytidine kinase-like 1, putative, expressed
GRMZM2G169481	Mur ligase family protein, putative, expressed
GRMZM2G169486	pex14, putative, expressed
GRMZM2G169489	von Willebrand factor type A domain containing protein, putative, expressed
GRMZM2G169504	MCM3 - Putative minichromosome maintenance MCM complex subunit 3, expressed
GRMZM2G169505	expressed protein
GRMZM2G169516	indole-3-glycerol phosphate synthase, chloroplast precursor, putative, expressed
GRMZM2G169535	expressed protein
GRMZM2G169539	MATE efflux family protein, putative, expressed
GRMZM2G169546	nuclear transport factor, putative, expressed
GRMZM2G169548	bacterial transferase hexapeptide domain containing protein, expressed
GRMZM2G169553	purine permease, putative, expressed
GRMZM2G169558	protein kinase domain containing protein, expressed
GRMZM2G169562	lipase class 3 family protein, putative, expressed
GRMZM2G169564	WRKY64, expressed
GRMZM2G169571	NB-ARC domain containing protein, expressed
GRMZM2G169580	expressed protein
GRMZM2G169584	NB-ARC domain containing protein, expressed
GRMZM2G169593	tryptophan synthase beta chain 1, putative, expressed
GRMZM2G169615	RNA recognition motif containing protein, putative, expressed
GRMZM2G169617	RNA recognition motif containing protein, putative, expressed
GRMZM2G169628	cytokinin-O-glucosyltransferase 2, putative, expressed
GRMZM2G169636	nodulation-signaling pathway 1 protein, putative, expressed
GRMZM2G169642	expressed protein
GRMZM2G169645	zinc finger C3HC4 type family protein, putative, expressed
GRMZM2G169648	ATPOT1, putative, expressed
GRMZM2G169654	B3 DNA binding domain containing protein, expressed
GRMZM2G169658	signal recognition particle 68 kDa protein, putative, expressed
GRMZM2G169669	retrotransposon protein, putative, unclassified, expressed
GRMZM2G169671	stem-specific protein TSJT1, putative, expressed
GRMZM2G169681	receptor protein kinase CLAVATA1 precursor, putative, expressed
GRMZM2G169688	bromodomain domain containing protein, expressed
GRMZM2G169690	U-box, putative, expressed
GRMZM2G169694	ras-related protein, putative, expressed
GRMZM2G169695	bet v I allergen family protein, putative, expressed
GRMZM2G169699	expressed protein
GRMZM2G169704	expressed protein
GRMZM2G169709	CK1_CaseinKinase_1.6 - CK1 includes the casein kinase 1 kinases, expressed
GRMZM2G169726	heavy metal associated domain containing protein, expressed
GRMZM2G169747	PPR repeat domain containing protein, putative, expressed
GRMZM2G169757	hAT dimerisation domain-containing protein, putative, expressed
GRMZM2G169766	exosome complex exonuclease, putative, expressed
GRMZM2G169773	secretory carrier-associated membrane protein, putative, expressed
GRMZM2G169782	BTBN1 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 and coiled-coil domains, expressed
GRMZM2G169785	expressed protein
GRMZM2G169788	cyclic nucleotide-gated ion channel 1, putative, expressed
GRMZM2G169820	auxin response factor, putative, expressed
GRMZM2G169825	BTBN9 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 and coiled-coil domains, expressed
GRMZM2G169848	expressed protein
GRMZM2G169871	FKBP12-interacting protein of 37 kDa, putative, expressed
GRMZM2G169878	importin subunit alpha, putative, expressed
GRMZM2G169884	histone-like transcription factor and archaeal histone, putative, expressed
GRMZM2G169890	copper/zinc superoxide dismutase, putative, expressed
GRMZM2G169911	expressed protein
GRMZM2G169914	mitochondrial carrier protein, putative, expressed
GRMZM2G169927	arginine N-methyltransferase 5, putative, expressed
GRMZM2G169929	expressed protein
GRMZM2G169931	nonsense-mediated mRNA decay protein 3, putative, expressed
GRMZM2G169943	oxidoreductase, aldo/keto reductase family protein, putative, expressed
GRMZM2G169947	helix-loop-helix DNA-binding domain containing protein, expressed
GRMZM2G169951	C4-dicarboxylate transporter/malic acid transport protein, expressed
GRMZM2G169953	expressed protein
GRMZM2G169957	expressed protein
GRMZM2G169962	retrotransposon protein, putative, unclassified, expressed
GRMZM2G169966	WRKY70, expressed
GRMZM2G169967	expansin precursor, putative, expressed
GRMZM2G169973	plant-specific domain TIGR01568 family protein, expressed
GRMZM2G169990	ankyrin repeat-containing protein, putative, expressed
GRMZM2G169991	transposon protein, putative, CACTA, En/Spm sub-class, expressed
GRMZM2G169994	zinc finger, C3HC4 type domain containing protein, expressed
GRMZM2G169996	WD domain, G-beta repeat domain containing protein, expressed
GRMZM2G169998	marker Xucw84, putative, expressed
GRMZM2G170008	thioredoxin, putative, expressed
GRMZM2G170013	oxidoreductase, short chain dehydrogenase/reductase family domain containing protein, expressed
GRMZM2G170016	cytochrome b5-like Heme/Steroid binding domain containing protein, expressed
GRMZM2G170017	oxidoreductase, short chain dehydrogenase/reductase family domain containing protein, expressed
GRMZM2G170027	ZOS12-05 - C2H2 zinc finger protein, expressed
GRMZM2G170034	OsPLIM2a - LIM domain protein, putative actin-binding protein and transcription factor, expressed
GRMZM2G170035	protein kinase domain containing protein, expressed
GRMZM2G170037	AAA-type ATPase family protein, putative, expressed
GRMZM2G170042	retrotransposon protein, putative, unclassified, expressed
GRMZM2G170044	LTPL84 - Protease inhibitor/seed storage/LTP family protein precursor, expressed
GRMZM2G170047	cytochrome P450, putative, expressed
GRMZM2G170049	MYB family transcription factor, putative, expressed
GRMZM2G170061	DEAD-box ATP-dependent RNA helicase, putative, expressed
GRMZM2G170079	bZIP transcription factor domain containing protein, expressed
GRMZM2G170088	expressed protein
GRMZM2G170099	expressed protein
GRMZM2G170101	phosphoribosyl transferase, putative, expressed
GRMZM2G170116	MATE efflux family protein, putative, expressed
GRMZM2G170120	CAMK_KIN1/SNF1/Nim1_like.9 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
GRMZM2G170128	MATE efflux family protein, putative, expressed
GRMZM2G170129	WD domain, G-beta repeat domain containing protein, expressed
GRMZM2G170137	zinc finger, C3HC4 type domain containing protein, expressed
GRMZM2G170148	MYB transcription factor, putative, expressed
GRMZM2G170152	expressed protein
GRMZM2G170161	BSD domain-containing protein, putative, expressed
GRMZM2G170167	expressed protein
GRMZM2G170177	B3 DNA binding domain containing protein, expressed
GRMZM2G170191	sec20 domain containing protein, expressed
GRMZM2G170201	paired amphipathic helix repeat-containing protein, putative, expressed
GRMZM2G170208	inorganic phosphate transporter, putative, expressed
GRMZM2G170213	MYB family transcription factor, putative, expressed
GRMZM2G170232	heat shock protein DnaJ, putative, expressed
GRMZM2G170240	NADPH-dependent oxidoreductase, putative, expressed
GRMZM2G170243	tonneau 1b, putative, expressed
GRMZM2G170253	expressed protein
GRMZM2G170255	ZOS7-10 - C2H2 zinc finger protein, expressed
GRMZM2G170262	ribosome, putative, expressed
GRMZM2G170276	expressed protein
GRMZM2G170281	transmembrane 9 superfamily member, putative, expressed
GRMZM2G170289	ZR1 protein, putative, expressed
GRMZM2G170291	endonuclease/exonuclease/phosphatase family domain containing protein, expressed
GRMZM2G170299	protein phosphatase 2C, putative, expressed
GRMZM2G170302	major facilitator superfamily antiporter, putative, expressed
GRMZM2G170307	heat shock protein DnaJ, putative, expressed
GRMZM2G170313	ybaK/prolyl-tRNA synthetase family protein, putative, expressed
GRMZM2G170322	MYB family transcription factor, putative, expressed
GRMZM2G170326	CorA-like magnesium transporter protein, putative, expressed
GRMZM2G170336	UDP-glucuronate 4-epimerase, putative, expressed
GRMZM2G170338	class I glutamine amidotransferase, putative, expressed
GRMZM2G170342	expressed protein
GRMZM2G170351	exostosin, putative, expressed
GRMZM2G170362	RNA methyltransferase, TrmH family protein, putative, expressed
GRMZM2G170365	RNA recognition motif containing protein, expressed
GRMZM2G170382	nucleotide-sensitive chloride conductance regulator containing protein, expressed
GRMZM2G170385	expressed protein
GRMZM2G170388	polygalacturonase, putative, expressed
GRMZM2G170391	vignain precursor, putative, expressed
GRMZM2G170397	peptidyl-prolyl cis-trans isomerase, putative, expressed
GRMZM2G170400	CPuORF26 - conserved peptide uORF-containing transcript, expressed
GRMZM2G170412	SET domain containing protein, expressed
GRMZM2G170413	zinc finger, C3HC4 type domain containing protein, expressed
GRMZM2G170420	jmjC domain containing protein, expressed
GRMZM2G170434	zinc finger, C3HC4 type domain containing protein, expressed
GRMZM2G170446	cytokinin dehydrogenase precursor, putative, expressed
GRMZM2G170457	cytochrome b-c1 complex subunit 7, putative, expressed
GRMZM2G170489	expressed protein
GRMZM2G170509	thioesterase family protein, putative, expressed
GRMZM2G170516	ABC family transporter: toluene tolerance, putative, expressed
GRMZM2G170520	ZOS4-10 - C2H2 zinc finger protein, expressed
GRMZM2G170532	immature colon carcinoma transcript 1 protein precursor, putative, expressed
GRMZM2G170542	expressed protein
GRMZM2G170552	CAMK_KIN1/SNF1/Nim1_like.6 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
GRMZM2G170554	kinesin motor domain containing protein, putative, expressed
GRMZM2G170559	helix-loop-helix DNA-binding domain containing protein, expressed
GRMZM2G170561	L1P family of ribosomal proteins domain containing protein, expressed
GRMZM2G170567	PIR, putative, expressed
GRMZM2G170577	chloride channel protein, putative, expressed
GRMZM2G170591	cell division cycle protein 23, putative, expressed
GRMZM2G170593	expressed protein
GRMZM2G170595	aminotransferase, classes I and II, domain containing protein, expressed
GRMZM2G170600	expressed protein
GRMZM2G170602	erythronate-4-phosphate dehydrogenase domain containing protein, expressed
GRMZM2G170612	expressed protein
GRMZM2G170613	kinetochore protein, putative, expressed
GRMZM2G170625	jacalin-like lectin domain containing protein, expressed
GRMZM2G170628	retrotransposon protein, putative, unclassified, expressed
GRMZM2G170632	ZOS1-11 - C2H2 zinc finger protein, expressed
GRMZM2G170646	GDSL-like lipase/acylhydrolase, putative, expressed
GRMZM2G170680	leucine rich repeat protein, putative, expressed
GRMZM2G170689	S-formylglutathione hydrolase, putative, expressed
GRMZM2G170692	phenylalanine ammonia-lyase, putative, expressed
GRMZM2G170699	RNA recognition motif containing protein, putative, expressed
GRMZM2G170727	expressed protein
GRMZM2G170734	chlorophyllase-2, chloroplast precursor, putative, expressed
GRMZM2G170742	expressed protein
GRMZM2G170760	ANTH/ENTH domain containing protein, putative, expressed
GRMZM2G170766	IQ calmodulin-binding motif family protein, expressed
GRMZM2G170769	ankyrin repeat-rich protein, putative, expressed
GRMZM2G170787	oligopeptide transporter, putative, expressed
GRMZM2G170798	serine/threonine protein phosphatase, putative, expressed
GRMZM2G170805	AIG2-like family domain containing protein, expressed
GRMZM2G170812	NAD dependent epimerase/dehydratase family protein, putative, expressed
GRMZM2G170829	Cupin domain containing protein, expressed
GRMZM2G170839	glycosyl hydrolase family 10 protein, putative, expressed
GRMZM2G170842	plant neutral invertase domain containing protein, expressed
GRMZM2G170843	ubiquitin family protein, putative, expressed
GRMZM2G170845	OsPDIL2-1 protein disulfide isomerase PDIL2-1, expressed
GRMZM2G170851	expressed protein
GRMZM2G170857	Cupin domain containing protein, expressed
GRMZM2G170868	ASC1, putative, expressed
GRMZM2G170870	ribosomal protein L6, putative, expressed
GRMZM2G170878	mitochondrial ribosomal protein S12, putative, expressed
GRMZM2G170890	tetratricopeptide repeat containing protein, putative, expressed
GRMZM2G170896	pentatricopeptide, putative, expressed
GRMZM2G170915	rhythmically expressed gene 2 protein, putative, expressed
GRMZM2G170927	inorganic H+ pyrophosphatase, putative, expressed
GRMZM2G170934	frigida, putative, expressed
GRMZM2G170936	growth regulator related protein, putative, expressed
GRMZM2G170941	expressed protein
GRMZM2G170953	heme oxygenase 1, putative, expressed
GRMZM2G170958	homeobox domain containing protein, expressed
GRMZM2G170969	LTPL38 - Protease inhibitor/seed storage/LTP family protein precursor, expressed
GRMZM2G170975	expressed protein
GRMZM2G170982	AAA-type ATPase family protein, putative, expressed
